sessionNo,startHour,startWeekday,duration,cCount,cMinPrice,cMaxPrice,cSumPrice,bCount,bMinPrice,bMaxPrice,bSumPrice,bStep,onlineStatus,availability,customerNo,maxVal,customerScore,accountLifetime,payments,age,address,lastOrder,rCount,bMinPriceVariance,bMaxPriceVariance,bMeanVariance,cMeanVariance,order
972,19,7,1982.656,59,5,34.99,554.72,7,9.99,19.99,98.93,?,y,completely orderable,25541,2900,567,439,2,60,2,66,1,0,0,0,0,1
973,19,7,384.7,7,3,19.99,68.97,1,3,3,3,2,y,completely orderable,25542,800,440,13,8,25,2,31,0,0,0,0,0,0
974,19,7,738.354,8,109.99,129.99,959.92,1,129.99,129.99,129.99,2,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,0
975,19,7,3806.107,60,1,17.99,383.95,2,15,17.99,32.99,4,y,completely orderable,25543,600,564,73,3,40,2,30,1,0,0,0,0,0
976,19,7,3261.182,43,3.99,89.99,1134.65,13,3.99,89.99,420.87,?,y,completely orderable,25544,600,542,96,3,37,2,244,1,108.16,108.16,108.16,108.16,1
977,19,7,479.927,6,29.95,79,238.83,2,29.95,34.99,64.94,?,?,?,?,?,?,?,?,?,?,?,1,0,0,0,0,0
978,19,7,3133.951,22,11.99,34.99,535.79,1,24.99,24.99,24.99,4,y,completely orderable,25545,1200,497,29,10,33,2,20,0,0,0,0,0,0
979,19,7,10.529,1,6.99,6.99,6.99,1,6.99,6.99,6.99,2,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,0
980,19,7,1164.165,48,4,19.99,523.58,6,4.99,19.99,77.44,?,?,?,25546,1300,519,192,19,46,2,78,1,7.8125,7.8125,7.8125,7.8125,0
981,19,7,42.721,4,9.99,9.99,29.97,2,9.99,9.99,19.98,?,?,?,?,?,?,?,?,?,?,?,1,0,0,0,0,0
982,19,7,995.188,37,3.99,499.99,1038.63,4,3.99,9.99,28.96,?,?,?,?,?,?,?,?,?,?,?,1,0,0,0,0,0
983,19,7,74.368,1,49.99,49.99,49.99,1,49.99,49.99,49.99,5,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,0
984,19,7,3815.897,53,3,89.99,817.77,3,9.99,39.99,74.97,5,y,completely orderable,25547,2500,512,233,7,46,2,14,1,0,0,0,0,1
985,19,7,1333.975,48,3.99,59.9,738.11,3,7.95,34.99,54.89,?,y,completely orderable,25548,600,505,23,13,41,2,35,1,59.9611239669,59.9611239669,59.9611239669,59.9611239669,1
986,19,7,1417.35,41,3.99,29.99,813.65,9,3.99,24.99,182.91,5,y,completely orderable,25549,2700,492,173,14,43,2,5,1,59.9167275383,59.9167275383,59.9167275383,59.9167275383,1
987,19,7,3511.566,15,29.99,299.99,821.93,1,29.99,29.99,29.99,5,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,1
988,19,7,745.564,22,3.99,59.95,676.17,5,17.95,59.95,196.8,?,y,completely orderable,25550,600,397,28,0,36,1,56,1,0,0,0,0,1
989,19,7,509.882,4,29.99,29.99,119.96,1,29.99,29.99,29.99,5,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,1
990,19,7,355.897,9,28.99,49.99,327.91,5,28.99,49.99,188.95,?,y,completely orderable,25551,600,70,56,0,48,1,574,1,0.1775147929,0.1775147929,0.1775147929,0.1775147929,1
991,19,7,1725.641,44,14.9,79,1016.4,2,19.99,19.99,39.98,1,y,completely orderable,25552,600,541,201,0,42,2,256,1,0,0,0,0,0
992,19,7,272.816,3,64.99,64.99,194.97,1,64.99,64.99,64.99,5,y,completely orderable,25553,6800,511,224,18,60,2,16,0,0,0,0,0,1
993,19,7,1879.229,56,1,39.99,348.93,5,3,29.99,48.99,?,y,completely orderable,25554,4000,474,223,1,40,2,43,1,71.9466765432,71.9466765432,71.9466765432,71.9466765432,1
994,19,7,8168.298,155,16.99,1999.99,117310.7,9,199.99,1699.99,8359.91,1,y,mainly orderable,?,?,?,?,?,?,?,?,1,68500,68500,68500,68500,0
995,19,7,2849.285,6,12.99,39.99,165.86,1,12.99,12.99,12.99,5,y,completely orderable,?,?,?,?,?,?,?,?,0,3.15544362088405E-30,3.15544362088405E-30,3.15544362088405E-30,3.15544362088405E-30,1
996,19,7,3786.973,44,29.99,89.95,2329.39,1,49.99,49.99,49.99,5,y,completely orderable,25555,2900,70,181,3,38,2,15,0,0,0,0,0,1
997,19,7,5833.659,160,1,69.99,1300.91,15,1,42.01,143.98,?,y,completely orderable,25556,300,610,252,9,42,2,13,1,17.3636933594,17.3636933594,17.3636933594,17.3636933594,1
998,19,7,1921.944,24,9.99,39.99,644.77,10,9.99,39.99,264.9,5,y,completely orderable,?,?,?,?,?,?,?,?,1,36.62109375,36.62109375,36.62109375,36.62109375,1
999,19,7,1275.7,16,59.99,99.99,1079.84,1,59.99,59.99,59.99,1,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,0
1000,19,7,6.096,2,599.99,599.99,599.99,2,599.99,599.99,599.99,?,?,?,?,?,?,?,?,?,?,?,1,0,0,0,0,0
1001,19,7,850.067,12,3.99,49.99,291.89,11,3.99,49.99,241.9,?,y,completely orderable,25557,4000,577,37,3,50,1,147,1,0,0,0,0,1
1002,19,7,52.188,5,29.99,34.99,159.95,1,29.99,29.99,29.99,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,0
1003,19,7,6981.668,9,14.99,39.96,184.88,1,14.99,14.99,14.99,?,?,?,25558,800,541,73,25,45,2,14,0,0,0,0,0,0
1004,19,7,990.952,19,24.97,199.99,924.92,1,159.99,159.99,159.99,?,?,?,25559,4000,577,214,10,45,2,128,0,0,0,0,0,0
1005,19,7,2088.692,67,12.99,85.95,2001.62,12,12.99,85.95,401.55,5,y,completely orderable,25560,2600,557,117,28,55,2,19,1,8.4984581315,8.4984581315,8.4984581315,8.4984581315,1
1006,19,7,106.919,1,14.99,14.99,14.99,1,14.99,14.99,14.99,5,y,completely orderable,25561,4000,525,103,11,50,1,86,0,0,0,0,0,1
1007,19,7,449.716,8,119.9,159.95,1019.37,1,119.9,119.9,119.9,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,0
1008,19,7,357.325,7,299.99,299.99,2099.93,3,299.99,299.99,899.97,?,?,?,?,?,?,?,?,?,?,?,1,0,0,0,0,0
1009,19,7,3282.301,157,3,89.99,3647.93,6,7,29,109.99,?,y,completely orderable,25562,1400,557,74,6,46,2,20,1,24.1662049861,24.1662049861,24.1662049861,24.1662049861,1
1010,19,7,114.451,5,3.99,49.99,117.95,2,3.99,49.99,53.98,?,?,?,?,?,?,?,?,?,?,?,1,0,0,0,0,0
1011,19,7,2365.823,78,1,99.95,879.99,3,3.99,14.99,28.98,5,y,completely orderable,?,?,?,?,?,?,?,?,1,13.234375,13.234375,13.234375,13.234375,1
1012,19,7,2139.029,82,3,2599.99,15531.34,2,3,16.8,19.8,?,?,?,25563,4000,578,185,3,46,2,24,1,47.61,47.61,47.61,47.61,0
1013,19,7,115.411,1,?,?,?,1,?,?,?,1,y,completely not orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,0
1014,19,7,619.334,10,799,1799,14090,2,1499,1499,2998,?,?,?,?,?,?,?,?,?,?,?,1,0,0,0,0,0
1015,19,7,1319.941,32,29.99,69.99,1544.68,2,29.99,69.99,99.98,?,y,completely orderable,25564,600,577,60,2,77,2,192,1,0,0,0,0,1
1016,19,7,908.651,17,1,20,210,1,7,7,7,1,y,?,?,?,?,?,?,?,?,?,0,0,0,0,0,0
1017,19,7,42.813,2,139.99,139.99,279.98,1,139.99,139.99,139.99,2,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,0
1018,19,7,6182.108,64,9.99,299.99,4494.32,8,9.99,299.99,666.93,4,y,completely orderable,?,?,?,?,?,?,?,?,1,150.5595567867,150.5595567867,150.5595567867,150.5595567867,0
1019,19,7,1282.354,24,4.99,39.9,285.39,1,19.99,19.99,19.99,?,y,completely orderable,25565,600,70,62,2,44,2,265,0,0,0,0,0,1
1020,19,7,1228.918,15,2.99,9.99,90.89,6,3,9.99,33.96,5,y,completely orderable,25566,300,547,222,34,52,1,5,1,0,0,0,0,1
1021,19,7,44.286,1,?,?,?,1,?,?,?,1,y,?,25567,5000,70,221,2,39,1,23,0,0,0,0,0,0
1022,19,7,10290.467,191,9.99,89.95,3843.16,8,12.99,19.99,143.29,?,y,completely orderable,25568,800,490,8,7,31,2,41,1,0,0,0,0,1
1023,19,7,480.852,5,19.99,29.99,102.96,4,19.99,29.99,102.96,1,y,completely orderable,?,?,?,?,?,?,?,?,1,0,0,0,0,0
1024,19,7,26.36,1,6.99,6.99,6.99,1,6.99,6.99,6.99,2,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,0
1025,19,7,533.026,4,3.99,15.99,51.96,1,15.99,15.99,15.99,5,y,completely orderable,25569,4000,525,221,25,50,2,16,0,0,0,0,0,1
1026,19,7,187.646,11,12.99,12.99,142.89,4,12.99,12.99,51.96,?,y,completely orderable,?,?,?,?,?,?,?,?,1,0,0,0,0,1
1027,19,7,1760.077,56,6.99,24.99,941.48,6,9.99,24.99,100.94,5,y,completely orderable,7817,1500,432,10,21,21,2,6,1,0,0,0,0,1
1028,19,7,1332.096,11,29.99,29.99,299.9,3,29.99,29.99,89.97,5,y,completely orderable,?,?,?,?,?,?,?,?,1,0,0,0,0,1
1029,19,7,1252.338,39,14.99,54.95,642.47,2,29.95,29.99,59.94,1,y,completely orderable,?,?,?,?,?,?,?,?,1,0.000144,0.000144,0.000144,0.000144,0
1030,19,7,4322.343,39,14.99,59.99,1110.41,3,14.99,39.99,69.97,?,y,completely orderable,?,?,?,?,?,?,?,?,1,41.4540816327,41.4540816327,41.4540816327,41.4540816327,1
1031,19,7,4410.943,142,3,189.99,3282.75,6,3,49.99,117.96,?,?,?,8586,10000,536,415,20,72,2,6,1,59.2130816327,59.2130816327,59.2130816327,59.2130816327,1
1032,19,7,183.155,6,39.99,39.99,239.94,1,39.99,39.99,39.99,?,?,?,25570,2900,569,206,10,53,2,16,0,0,0,0,0,0
1033,19,7,868.019,9,19.99,29.99,179.92,2,19.99,29.99,49.98,5,y,completely orderable,?,?,?,?,?,?,?,?,1,0,0,0,0,1
1034,19,7,922.691,14,9.99,44.99,338.74,5,9.99,29.99,107.91,5,y,completely orderable,?,?,?,?,?,?,?,?,1,58.3342062284,58.3342062284,58.3342062284,58.3342062284,1
1035,19,7,606.279,2,699.99,699.99,1399.98,1,699.99,699.99,699.99,5,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,1
1036,19,7,117.856,5,4.99,24.9,59.78,2,4.99,24.9,29.89,2,y,completely orderable,25571,600,557,240,8,39,1,18,1,88.0906888889,88.0906888889,88.0906888889,88.0906888889,0
1037,19,7,207.354,8,44.99,319.99,729.96,2,44.99,319.99,364.98,1,y,completely orderable,?,?,?,?,?,?,?,?,1,16805.5555555556,16805.5555555556,16805.5555555556,16805.5555555556,0
1038,19,7,1379.668,32,19.99,69.99,989.68,2,29.99,34.99,64.98,?,y,completely orderable,25572,2900,555,472,11,50,2,113,1,0,0,0,0,1
1039,19,7,3385.278,65,2.99,54.99,569.83,2,5,5,10,1,y,?,?,?,?,?,?,?,?,?,1,0,0,0,0,0
1040,19,7,713.71,17,9.99,39.99,318.84,3,9.99,39.99,62.97,5,y,completely orderable,?,?,?,?,?,?,?,?,1,96.609375,96.609375,96.609375,96.609375,1
1041,19,7,559.777,7,29.99,29.99,209.93,2,29.99,29.99,59.98,5,y,completely orderable,?,?,?,?,?,?,?,?,1,0,0,0,0,1
1042,19,7,2342.477,9,149.99,249.99,1909.96,2,222,222,444,?,?,?,?,?,?,?,?,?,?,?,1,0,0,0,0,0
1043,19,7,489.974,17,4.99,42.95,597.23,3,39.95,42.95,125.85,?,?,?,?,?,?,?,?,?,?,?,1,0,0,0,0,0
1044,19,7,1432.123,43,7,39.99,460.39,9,7,39.99,115.74,?,y,completely orderable,25573,600,548,106,5,29,2,5,1,3.5822066327,3.5822066327,3.5822066327,3.5822066327,1
1045,19,7,4896.463,81,39.99,899.99,34308.22,4,49.99,599.99,1449.96,1,y,completely orderable,?,?,?,?,?,?,?,?,1,46523.4375,46523.4375,46523.4375,46523.4375,0
1046,19,7,3115.285,40,9.99,29.99,663.66,6,9.99,29.99,107.95,?,y,completely orderable,25574,1100,576,190,4,36,2,133,1,1.4763867769,1.4763867769,1.4763867769,1.4763867769,1
1047,19,7,712.775,20,3.99,29.99,435.82,12,3.99,29.99,307.88,?,y,completely orderable,25575,4000,542,391,6,52,2,15,1,28.1134215501,28.1134215501,28.1134215501,28.1134215501,1
1048,19,7,19643.89,134,3.99,44.99,2176.07,23,3.99,34.99,288.73,5,y,completely orderable,?,?,?,?,?,?,?,?,1,4.9689249307,4.9689249307,4.9689249307,4.9689249307,1
1049,19,7,20957.963,192,4.99,129.99,4701.58,18,9.99,69.99,616.7,?,?,?,?,?,?,?,?,?,?,?,1,13.7315689981,13.7315689981,13.7315689981,13.7315689981,0
1050,19,7,435.707,2,59.95,59.95,119.9,1,59.95,59.95,59.95,?,y,completely orderable,25576,4000,515,114,16,28,2,37,0,0,0,0,0,1
1051,19,7,1925.721,44,9.99,19.99,457.81,6,9.99,19.99,90.95,?,y,completely orderable,25577,4000,70,74,1,37,2,385,1,0,0,0,0,1
1052,19,7,2938.741,98,1,3.99,196.98,2,3,3.99,6.99,?,y,completely orderable,25578,600,484,31,3,42,2,6,1,0.088209,0.088209,0.088209,0.088209,1
1053,19,7,685.168,8,29.99,29.99,239.92,2,29.99,29.99,59.98,?,y,completely orderable,25579,300,501,224,0,47,1,54,1,0,0,0,0,1
1054,19,7,317.965,9,179.99,199.99,1139.94,1,179.99,179.99,179.99,5,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,1
1055,19,7,507.931,5,34.99,34.99,104.97,1,34.99,34.99,34.99,2,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,0
1056,19,7,1000.052,10,14.99,139.99,804.91,1,?,?,?,1,y,?,25580,2500,529,220,10,43,2,27,0,0,0,0,0,0
1057,19,7,66.456,3,7.99,7.99,23.97,1,7.99,7.99,7.99,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,0
1058,19,7,535.284,3,?,?,?,0,?,?,?,?,y,completely orderable,25581,600,426,16,18,31,2,65,0,0,0,0,0,0
1059,19,7,471.088,12,219.99,319.99,2498.92,1,319.99,319.99,319.99,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,0
1060,19,7,2132.327,50,19,44.99,1422.52,9,24.99,29.99,244.91,1,y,completely orderable,25582,600,70,31,2,30,2,348,1,0,0,0,0,0
1061,19,7,1953.606,25,7.99,39.99,547.75,6,12.99,39.99,140.94,?,?,?,?,?,?,?,?,?,?,?,1,30.24,30.24,30.24,30.24,0
1062,19,7,3489.932,105,4.9,129.99,3015.76,6,7,99.99,173.96,2,y,completely orderable,?,?,?,?,?,?,?,?,1,564.9673673469,564.9673673469,564.9673673469,564.9673673469,0
1063,19,7,670.071,2,579.99,579.99,1159.98,1,579.99,579.99,579.99,5,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,1
1064,19,7,2262.882,35,3.99,149.99,749.6,2,6.99,17.99,24.98,?,y,completely orderable,25583,600,571,21,1,34,2,99,1,10,10,10,10,1
1065,19,7,443.158,3,29.99,49.99,109.97,2,29.99,49.99,79.98,5,y,completely orderable,25584,1500,535,221,9,46,2,55,1,0,0,0,0,1
1066,19,7,189.529,4,44.99,44.99,179.96,1,44.99,44.99,44.99,5,y,completely orderable,25585,1800,579,220,27,51,2,6,0,0,0,0,0,1
1067,19,7,2154.767,32,9.99,49.99,535.77,16,9.99,49.99,410.8,?,y,completely orderable,25586,1400,513,328,9,44,2,249,1,28.0957336108,28.0957336108,28.0957336108,28.0957336108,1
1068,19,7,1010.036,10,?,?,?,4,?,?,?,1,y,completely not orderable,25587,600,581,22,5,30,2,73,1,0,0,0,0,0
1069,19,7,23.678,2,499.99,499.99,999.98,1,499.99,499.99,499.99,1,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,0
1070,19,7,2112.46,17,14.99,34.99,449.85,2,34.99,34.99,69.98,2,y,completely orderable,?,?,?,?,?,?,?,?,1,0,0,0,0,0
1071,19,7,775.853,12,11.99,49.95,268.77,1,49.95,49.95,49.95,2,y,completely orderable,?,?,?,?,?,?,?,?,0,5.04870979341448E-29,5.04870979341448E-29,5.04870979341448E-29,5.04870979341448E-29,0
1072,19,7,7644.864,95,3.99,149.99,2138.91,6,12.99,149.99,220.94,5,y,completely orderable,25588,600,572,125,16,51,2,24,1,1551.1570247934,1551.1570247934,1551.1570247934,1551.1570247934,1
1073,19,7,2528.335,43,3.99,34.99,685.75,7,3.99,19.99,85.94,?,y,completely orderable,25589,600,598,58,1,41,2,251,1,13,13,13,13,1
1074,19,7,1065.558,8,19.99,199.99,523.92,1,27.99,27.99,27.99,?,y,completely orderable,25590,300,445,211,12,50,2,8,0,0,0,0,0,0
1075,19,7,906.952,19,169.99,181.95,2115.76,1,177.99,177.99,177.99,2,y,completely orderable,25591,2900,524,114,36,44,2,25,0,0,0,0,0,0
1076,19,7,1325.39,20,7.99,199.99,1767.85,1,99.99,99.99,99.99,1,y,?,25592,3000,511,218,50,44,2,111,0,0,0,0,0,0
1077,19,7,2023.75,52,11.9,99.95,3004.57,8,11.9,99.95,396.4,5,y,completely orderable,25593,1700,511,50,6,33,2,13,1,529.8617346939,529.8617346939,529.8617346939,529.8617346939,1
1078,19,7,1533.135,23,0,14.99,224.83,10,0,14.99,99.92,4,y,completely orderable,25594,600,570,208,6,33,2,87,1,12.6345777778,12.6345777778,12.6345777778,12.6345777778,0
1079,19,7,2922.588,56,3.99,150,2286.22,11,3.99,49.99,222.89,5,y,completely orderable,25595,4000,544,115,24,45,2,8,1,37.4256055363,37.4256055363,37.4256055363,37.4256055363,1
1080,19,7,929.313,6,39.99,39.99,119.97,1,39.99,39.99,39.99,1,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,0
1081,19,7,1468.771,20,4.95,24.9,188.19,1,7.95,7.95,7.95,?,?,?,8006,2400,472,79,12,26,2,4,0,0,0,0,0,0
1082,19,7,725.473,15,3.99,59.99,340.85,4,3.99,59.99,98.96,5,y,completely orderable,25596,4000,565,116,43,49,2,15,1,1.97215226305253E-31,1.97215226305253E-31,1.97215226305253E-31,1.97215226305253E-31,1
1083,19,7,1171.32,16,5.99,44.99,163.84,7,5.99,11.99,57.95,?,y,completely orderable,25597,1000,475,54,5,42,1,68,1,0.9859484375,0.9859484375,0.9859484375,0.9859484375,1
1084,19,7,598.321,13,39.99,59.95,669.67,1,59.95,59.95,59.95,?,y,completely orderable,25598,600,70,26,2,34,1,13,0,5.04870979341448E-29,5.04870979341448E-29,5.04870979341448E-29,5.04870979341448E-29,1
1085,19,7,725.64,10,399.99,549.99,4949.9,2,499.99,549.99,1049.98,1,y,?,25599,2400,495,150,24,33,2,16,1,0,0,0,0,0
1086,19,7,1440.339,8,59.99,199.99,809.94,1,149.99,149.99,149.99,?,y,completely orderable,25600,300,438,8,2,33,1,83,0,0,0,0,0,0
1087,19,7,20739.318,83,8.39,749.99,12371.87,13,34.99,299.99,1672.89,?,y,completely orderable,25601,600,557,71,12,33,2,5,1,2504.5953360768,2504.5953360768,2504.5953360768,2504.5953360768,1
1088,19,7,191.289,4,3.99,19.99,47.96,2,3.99,19.99,23.98,?,y,completely orderable,25602,900,471,76,26,44,1,8,1,31.3469387755,31.3469387755,31.3469387755,31.3469387755,1
1089,19,7,311.145,7,9.99,9.99,59.94,2,9.99,9.99,19.98,5,y,completely orderable,?,?,?,?,?,?,?,?,1,0,0,0,0,1
1090,19,7,854.13,42,0.8,25,150.37,3,0.8,3,6.8,?,?,?,?,?,?,?,?,?,?,?,1,0.9075,0.9075,0.9075,0.9075,0
1091,19,7,2526.771,55,12.99,199.99,3763.45,5,29.99,199.99,539.95,2,y,completely orderable,25603,1900,603,221,2,56,2,190,1,4422.2222222222,4422.2222222222,4422.2222222222,4422.2222222222,0
1092,19,7,6898.943,11,15,549.99,1644.78,1,19.99,19.99,19.99,?,y,completely orderable,25604,300,546,35,3,44,1,11,0,0,0,0,0,1
1093,19,7,4349.345,85,5.99,33.99,588.59,6,9.99,19.99,75.94,?,y,completely orderable,25605,600,70,21,0,28,2,491,1,6.93359375,6.93359375,6.93359375,6.93359375,1
1094,19,7,988.211,15,9.99,299.99,1379.93,0,?,?,?,1,y,mainly orderable,25606,2900,514,264,11,44,2,7,0,0,0,0,0,0
1095,19,7,2141.037,46,8.99,29.99,574.54,1,9.99,9.99,9.99,1,y,?,25607,2900,533,133,24,37,2,28,0,0,0,0,0,0
1096,19,7,134.481,3,19.99,19.99,59.97,1,19.99,19.99,19.99,?,y,completely orderable,25608,300,562,223,2,58,2,109,0,0,0,0,0,1
1097,19,7,1860.008,43,10.95,89.95,1093.95,1,34.9,34.9,34.9,2,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,0
1098,19,7,180.985,3,89.95,89.95,269.85,2,89.95,89.95,179.9,2,y,completely orderable,?,?,?,?,?,?,?,?,1,0,0,0,0,0
1099,19,7,1889.975,28,9.99,99.99,530.81,4,9.99,49.99,87.96,?,y,completely orderable,25609,800,457,41,6,42,1,16,1,3.3580246914,3.3580246914,3.3580246914,3.3580246914,1
1100,19,7,1029.643,17,3.99,34.99,272.83,3,16.99,34.99,81.97,1,y,completely orderable,1435,9500,551,183,20,64,2,6,1,0,0,0,0,0
1101,19,7,1463.823,25,15,59.99,833.81,2,29.99,34.99,64.98,?,y,completely orderable,25610,2900,542,91,4,36,2,120,1,0,0,0,0,1
1102,19,7,5632.741,83,12.99,49.99,3091.44,3,19.99,29.99,79.97,?,y,completely orderable,?,?,?,?,?,?,?,?,1,13.8888888889,13.8888888889,13.8888888889,13.8888888889,1
1103,19,7,992.737,14,3.99,29.99,261.86,4,3.99,29.99,73.96,?,y,completely orderable,25611,2800,517,213,8,55,1,34,1,129.6326530612,129.6326530612,129.6326530612,129.6326530612,1
1104,19,7,1003.123,22,14.99,169.99,964.78,5,14.99,59.99,199.95,5,y,completely orderable,25612,800,474,246,21,47,2,11,1,126,126,126,126,1
1105,19,7,618.808,3,4.99,4.99,9.98,1,4.99,4.99,4.99,?,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,1
1106,19,7,527.851,10,19.99,19.99,179.91,3,19.99,19.99,59.97,?,y,completely orderable,25613,300,506,87,0,46,2,685,1,0,0,0,0,1
1107,19,7,718.915,12,599,599,1797,1,599,599,599,?,y,completely orderable,25614,4000,504,72,3,45,2,23,0,0,0,0,0,1
1108,19,7,124.121,2,29.99,29.99,59.98,2,29.99,29.99,59.98,?,y,completely orderable,25615,4000,70,129,3,33,2,27,1,0,0,0,0,1
1109,19,7,10.761,1,6.99,6.99,6.99,1,6.99,6.99,6.99,2,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,0
1110,19,7,652.062,5,9.99,19.99,72.95,5,9.99,19.99,72.95,5,y,completely orderable,?,?,?,?,?,?,?,?,1,0,0,0,0,1
1111,19,7,709.849,10,3.99,32.99,259.9,2,3.99,29.99,33.98,5,y,completely orderable,?,?,?,?,?,?,?,?,1,93.8888888889,93.8888888889,93.8888888889,93.8888888889,1
1112,19,7,343.982,8,3.99,79.99,147.95,2,6.99,10,16.99,?,?,?,?,?,?,?,?,?,?,?,1,2.265025,2.265025,2.265025,2.265025,0
1113,19,7,4743.868,62,6.99,269.99,3690.57,12,9.99,269.99,1385.9,?,y,completely orderable,25616,600,572,74,4,38,2,215,1,263.3469387755,263.3469387755,263.3469387755,263.3469387755,1
1114,19,7,1901.547,26,7.99,169.99,1972.74,2,89.99,99.99,189.98,1,y,completely orderable,25336,12700,553,345,11,52,2,26,1,0,0,0,0,0
1115,19,7,25.003,1,6.99,6.99,6.99,1,6.99,6.99,6.99,?,y,completely orderable,47,300,537,5,0,53,1,34,0,0,0,0,0,0
1116,19,7,12669.073,16,599,1199,15151,1,999,999,999,?,y,completely orderable,25617,600,493,30,11,21,2,74,0,0,0,0,0,1
1117,19,7,1539.205,78,1,19.99,495.92,7,1,10,26,?,?,?,?,?,?,?,?,?,?,?,1,0,0,0,0,0
1118,19,7,91.3,5,35,79.99,354.96,2,79.99,79.99,159.98,2,y,completely orderable,?,?,?,?,?,?,?,?,1,0,0,0,0,0
1119,19,7,671.237,2,32.99,34.99,67.98,2,32.99,34.99,67.98,2,y,completely orderable,25618,800,491,325,19,65,1,45,1,0,0,0,0,0
1120,19,7,1414.42,14,33.99,59.99,153.97,1,59.99,59.99,59.99,5,y,completely orderable,18394,2300,483,234,17,40,2,55,0,0,0,0,0,1
1121,19,7,74.452,2,24.99,24.99,49.98,1,24.99,24.99,24.99,2,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,0
1122,19,7,447.794,7,14.99,89.99,329.93,3,14.99,89.99,119.97,?,y,completely orderable,?,?,?,?,?,?,?,?,1,506.25,506.25,506.25,506.25,1
1123,19,7,1303.325,3,99.99,99.99,199.98,1,99.99,99.99,99.99,5,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,1
1124,19,7,280.095,3,29.99,44.99,104.97,1,29.99,29.99,29.99,?,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,1
1125,19,7,2138.381,168,5.99,69.99,2838.38,2,16.99,19.99,36.98,1,y,completely orderable,25619,300,515,1,1,33,2,48,1,2,2,2,2,0
1126,19,7,22.211,1,6.99,6.99,6.99,1,6.99,6.99,6.99,?,y,completely orderable,47,300,537,5,0,53,1,34,0,0,0,0,0,0
1127,19,7,2667.988,8,29.99,39.99,269.93,1,39.99,39.99,39.99,2,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,0
1128,19,7,544.102,18,9.99,24.99,311.82,6,9.99,24.99,103.94,?,y,completely orderable,25620,4000,578,31,6,44,2,148,1,0,0,0,0,1
1129,19,7,1509.332,32,19.99,249.99,1239.85,1,79.99,79.99,79.99,1,y,completely not orderable,25621,4000,487,221,4,50,1,110,0,0,0,0,0,0
1130,19,7,8.941,2,9.99,9.99,19.98,1,9.99,9.99,9.99,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,0
1131,19,7,9239.709,23,14.99,899.99,2554.83,2,19.99,19.99,39.98,1,y,completely orderable,?,?,?,?,?,?,?,?,1,0,0,0,0,0
1132,19,7,1757.481,50,4.99,69.95,1580.22,5,29.95,69.95,229.79,?,?,?,25622,600,577,47,1,42,2,78,1,0,0,0,0,0
1133,19,7,1111.514,7,6.99,9.99,51.93,3,6.99,6.99,20.97,?,y,completely orderable,25623,600,561,95,2,54,2,134,1,0,0,0,0,1
1134,19,7,5275.285,35,9.99,49.99,888.72,2,29.99,39.99,69.98,1,y,completely orderable,25624,500,80,78,0,39,2,34,1,0,0,0,0,0
1135,19,7,807.371,11,49.95,99.95,609.5,1,49.95,49.95,49.95,5,y,completely orderable,?,?,?,?,?,?,?,?,0,5.04870979341448E-29,5.04870979341448E-29,5.04870979341448E-29,5.04870979341448E-29,1
1136,19,7,1119.674,8,69.99,499,1108.94,1,89.99,89.99,89.99,?,y,completely orderable,?,?,?,?,?,?,?,?,0,0,0,0,0,1
1137,19,7,878.699,20,3,62.99,945.34,3,59.95,59.95,179.85,5,y,completely orderable,?,?,?,?,?,?,?,?,1,0,0,0,0,1
1138,19,7,3.242,1,19.99,19.99,19.99,1,19.99,19.99,19.99,1,y,completely orderable,25625,1600,541,55,11,56,3,7,0,0,0,0,0,0
